Dataset 	 Classifier 	 Accuracy 	 Precision 	 Recall 	 F-score
Twitter-A	Movie-Review Naive Bayes	0.195488722	0.08141403	0.195488722	0.110519125
Twitter-B	Movie-Review Naive Bayes	0.342105263	0.221898289	0.342105263	0.254032258
Product-Review-A	Movie-Review Naive Bayes	0.711442786	0.712558289	0.711442786	0.710864225
Product-Review-B	Movie-Review Naive Bayes	0.63681592	0.654155581	0.63681592	0.637024756
Movie Review	Movie-Review Naive Bayes	0.76119403	0.760406302	0.76119403	0.760723305
Complete Dataset	Movie-Review SVM	0.477259303	0.364824617	0.477259303	0.412431159
SMS-A	Movie-Review SVM	0.502145923	0.464993059	0.502145923	0.481504992
SMS-B	Movie-Review SVM	0.220095694	0.092176223	0.220095694	0.128648133
Twitter-A	Movie-Review SVM	0.187969925	0.074412519	0.187969925	0.10460192
Twitter-B	Movie-Review SVM	0.342105263	0.207236842	0.342105263	0.252221463
Product-Review-A	Movie-Review SVM	0.721393035	0.725383314	0.721393035	0.719822786
Product-Review-B	Movie-Review SVM	0.68159204	0.701363313	0.68159204	0.68159204
Movie Review	Movie-Review SVM	0.756218905	0.760586681	0.756218905	0.757482665
Complete Dataset	Ensemble Classifier	0.659184879	0.677154188	0.659184879	0.658493906
SMS-A	Ensemble Classifier	0.534334764	0.683957485	0.534334764	0.578523529
SMS-B	Ensemble Classifier	0.71291866	0.734504329	0.71291866	0.719857309
Twitter-A	Ensemble Classifier	0.601503759	0.497022655	0.601503759	0.539947095
Twitter-B	Ensemble Classifier	0.513157895	0.483552632	0.513157895	0.411278195
Product-Review-A	Ensemble Classifier	0.820895522	0.83185094	0.820895522	0.819597664
Product-Review-B	Ensemble Classifier	0.706467662	0.741866044	0.706467662	0.704283762
Movie Review	Ensemble Classifier	0.726368159	0.738804725	0.726368159	0.728547032
